record_date,total_runs,completed_runs,pct_completed
NULL,17,0,0.00
2024-05-16,3,3,1.00
2024-06-05,1,0,0.00
2024-06-06,1,0,0.00
2024-06-07,100,5,0.05
2024-06-08,109,45,0.41
2024-06-09,90,24,0.27
2024-06-10,110,45,0.41
2024-06-11,110,45,0.41
2024-06-12,110,45,0.41
2024-06-13,111,46,0.41
2024-06-14,114,46,0.40
2024-06-15,109,46,0.42
2024-06-16,110,45,0.41
2024-06-17,110,45,0.41
2024-06-18,113,47,0.42
2024-06-19,110,46,0.42
2024-06-20,111,47,0.42
2024-06-21,111,46,0.41
2024-06-22,110,45,0.41
2024-06-23,113,45,0.40
2024-06-24,110,45,0.41
2024-06-25,108,45,0.42
2024-06-26,110,45,0.41
2024-06-27,109,45,0.41
2024-06-28,73,43,0.59
2024-06-29,37,37,1.00
2024-06-30,37,37,1.00
2024-07-01,37,37,1.00
2024-07-02,47,46,0.98
2024-07-03,57,56,0.98
2024-07-04,56,55,0.98
2024-07-05,57,56,0.98
2024-07-06,56,55,0.98
2024-07-07,46,45,0.98
2024-07-08,62,61,0.98
2024-07-09,71,70,0.99
2024-07-10,52,45,0.87
2024-07-11,55,54,0.98
2024-07-12,51,50,0.98
2024-07-13,46,45,0.98
2024-07-14,46,45,0.98
2024-07-15,52,51,0.98
2024-07-16,46,45,0.98
2024-07-17,47,46,0.98
2024-07-18,58,57,0.98
2024-07-19,50,49,0.98
2024-07-20,45,45,1.00
2024-07-21,46,45,0.98
2024-07-22,225,220,0.98
2024-07-23,52,50,0.96
2024-07-24,58,57,0.98
2024-07-25,14,14,1.00
2024-07-26,68,67,0.99
2024-07-27,57,56,0.98
2024-07-28,57,56,0.98
2024-07-29,58,56,0.97
2024-07-30,69,67,0.97
2024-07-31,59,57,0.97
2024-08-01,121,121,1.00
2024-08-02,124,124,1.00
2024-08-03,111,111,1.00
2024-08-04,111,111,1.00
2024-08-05,86,86,1.00
2024-08-06,87,87,1.00
2024-08-07,112,111,0.99
2024-08-08,101,101,1.00
2024-08-09,112,112,1.00
2024-08-10,111,111,1.00
2024-08-11,111,111,1.00
2024-08-12,339,338,1.00
2024-08-13,627,624,1.00
2024-08-14,283,283,1.00
2024-08-15,455,455,1.00
2024-08-16,113,113,1.00
2024-08-17,111,111,1.00
2024-08-18,101,101,1.00
2024-08-19,111,111,1.00
2024-08-20,165,165,1.00
2024-08-21,132,132,1.00
2024-08-22,113,113,1.00
2024-08-23,112,112,1.00
2024-08-24,111,111,1.00
2024-08-25,111,111,1.00
2024-08-26,116,116,1.00
2024-08-27,112,112,1.00
2024-08-28,142,142,1.00
2024-08-29,111,111,1.00
2024-08-30,112,112,1.00
2024-08-31,111,111,1.00
2024-09-01,111,111,1.00
2024-09-02,111,111,1.00
2024-09-03,111,111,1.00
2024-09-04,101,101,1.00
2024-09-05,101,101,1.00
2024-09-06,101,101,1.00
2024-09-07,101,101,1.00
2024-09-08,101,101,1.00
2024-09-09,101,101,1.00
2024-09-10,102,102,1.00
2024-09-11,99,97,0.98
2024-09-12,102,102,1.00
2024-09-13,105,104,0.99
2024-09-14,101,101,1.00
2024-09-15,101,101,1.00
2024-09-16,103,103,1.00
2024-09-17,102,102,1.00
2024-09-18,103,103,1.00
2024-09-19,102,102,1.00
2024-09-20,101,101,1.00
2024-09-21,93,93,1.00
2024-09-22,93,93,1.00
2024-09-23,110,106,0.96
2024-09-24,104,104,1.00
2024-09-25,104,104,1.00
2024-09-26,101,101,1.00
2024-09-27,103,103,1.00
2024-09-28,101,101,1.00
2024-09-29,101,101,1.00
2024-09-30,95,95,1.00
2024-10-01,97,96,0.99
2024-10-02,101,101,1.00
2024-10-03,101,101,1.00
2024-10-04,104,104,1.00
2024-10-05,103,103,1.00
2024-10-06,102,102,1.00
2024-10-07,102,102,1.00
2024-10-08,102,102,1.00
2024-10-09,103,103,1.00
2024-10-10,76,76,1.00
2024-10-11,77,77,1.00
2024-10-12,96,95,0.99
2024-10-13,102,102,1.00
2024-10-14,100,100,1.00
2024-10-15,102,102,1.00
2024-10-16,102,102,1.00
2024-10-17,105,104,0.99
2024-10-18,105,104,0.99
2024-10-19,76,76,1.00
2024-10-20,101,101,1.00
2024-10-21,121,121,1.00
2024-10-22,122,122,1.00
2024-10-23,112,112,1.00
2024-10-24,114,114,1.00
2024-10-25,324,324,1.00
2024-10-26,366,366,1.00
2024-10-27,323,323,1.00
2024-10-28,352,350,0.99
2024-10-29,108,108,1.00
2024-10-30,118,118,1.00
2024-10-31,92,92,1.00
2024-11-01,108,108,1.00
2024-11-02,118,118,1.00
2024-11-03,118,118,1.00
2024-11-04,118,118,1.00
2024-11-05,140,140,1.00
2024-11-06,121,118,0.98
2024-11-07,109,108,0.99
2024-11-08,119,119,1.00
2024-11-09,118,118,1.00
2024-11-10,118,118,1.00
2024-11-11,118,118,1.00
2024-11-12,118,118,1.00
2024-11-13,120,119,0.99
2024-11-14,149,149,1.00
2024-11-15,133,123,0.92
2024-11-16,121,120,0.99
2024-11-17,119,118,0.99
2024-11-18,137,137,1.00
2024-11-19,245,244,1.00
2024-11-20,238,235,0.99
2024-11-21,203,203,1.00
2024-11-22,272,271,1.00
2024-11-23,120,120,1.00
2024-11-24,126,126,1.00
2024-11-25,151,151,1.00
2024-11-26,245,242,0.99
2024-11-27,172,171,0.99
2024-11-28,188,187,0.99
2024-11-29,498,479,0.96
2024-11-30,242,240,0.99
2024-12-01,184,182,0.99
2024-12-02,184,182,0.99
2024-12-03,192,192,1.00
2024-12-04,255,254,1.00
2024-12-05,251,248,0.99
2024-12-06,169,167,0.99
2024-12-07,112,112,1.00
2024-12-08,207,205,0.99
2024-12-09,187,185,0.99
2024-12-10,282,281,1.00
2024-12-11,297,293,0.99
2024-12-12,256,254,0.99
2024-12-13,265,263,0.99
2024-12-14,250,248,0.99
2024-12-15,248,246,0.99
2024-12-16,303,301,0.99
2024-12-17,349,347,0.99
2024-12-18,371,369,0.99
2024-12-19,344,342,0.99
2024-12-20,508,508,1.00
2024-12-21,404,402,1.00
2024-12-22,343,339,0.99
2024-12-23,359,357,0.99
2024-12-24,352,350,0.99
2024-12-25,343,341,0.99
2024-12-26,341,339,0.99
2024-12-27,450,448,1.00
2024-12-28,348,346,0.99
2024-12-29,346,345,1.00
2024-12-30,272,272,1.00
